last_name,first_name,jersey_number,position,affiliate
McCann,Jared,19,FORWARD,NO
Eberle,Jordan,7,FORWARD,NO
Schwartz,Jaden,17,FORWARD,NO
Wennberg,Alexander,21,FORWARD,NO
Gourde,Yanni,37,FORWARD,NO
Tanev,Brandon,13,FORWARD,NO
Burakovsky,Andre,95,FORWARD,NO
Bjorkstrand,Oliver,22,FORWARD,NO
Kartye,Tye,52,FORWARD,NO
Bellemare,Pierre-Edouard,41,FORWARD,NO
Dunn,Vince,29,DEFENSE,NO
Larsson,Adam,6,DEFENSE,NO
Oleksiak,Jamie,24,DEFENSE,NO
Borgen,Will,3,DEFENSE,NO
Evans,Vince,5,DEFENSE,NO
Ryker,Evans,4,DEFENSE,NO
Daccord,Joey,35,GOALIE,NO
Driedger,Chris,60,GOALIE,NO
